"FieldName","ClassName","ModelClass","LineContent","LineNo","FilePath","RepoName"
"transactionresponse.merchantadvicecode","ElavonResponseToMegaJsonMapper","TransactionResponse","response.transactionResponse().merchantAdviceCode( merchantAdviceCode.get() );","348","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\ElavonResponseToMegaJsonMapper.java","acqelavons2aservice"
"transactionresponse.transactionresponse.avsresponsecode","ElavonResponseToMegaJsonMapper","TransactionResponse","static final Map<String, com.mastercard.gateway.acquiring.megajson.transactionresponse.TransactionResponse.AvsResponseCode> AVS_MAPPINGS = new HashMap<>();","374","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\ElavonResponseToMegaJsonMapper.java","acqelavons2aservice"
"transaction","ElavonResponseToMegaJsonMapper","Transaction","""Elavon Token Error – unable to process Tokenised Transaction. Please check Token data and retry."" ) );","438","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\ElavonResponseToMegaJsonMapper.java","acqelavons2aservice"
"routingheader.actiontype","ElavonResponseToMegaJsonMapper","RoutingHeader","ActionType actionType = i.getTransactionRequest().routingHeader().actionType();","719","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\ElavonResponseToMegaJsonMapper.java","acqelavons2aservice"
"merchantcontext.acquirer.acquirercustomfields","ElavonTxnContext","AcquirerCustomFields",".merchantAcquirerRelationship().merchantAcquirerCustomFields().customRules() )","60","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\ElavonTxnContext.java","acqelavons2aservice"
"transaction.acceptpartialapproval","ElavonTxnContext","Transaction","return Optional.ofNullable( transactionRequest.transaction().acceptPartialApproval() )","73","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\ElavonTxnContext.java","acqelavons2aservice"
"transaction.ordercertainty","MegaJsonToElavonMessageMapper","Transaction","if ( ESTIMATED == transactionContext.request().transaction().orderCertainty() ) {","67","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"transaction.cardnumber","MegaJsonToElavonMessageMapper","Transaction","isoMessage.set( getFieldId(), transactionContext.request().transaction().cardNumber() );","104","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"transaction.ordercertainty","MegaJsonToElavonMessageMapper","Transaction","if ( ESTIMATED == transactionContext.request().transaction().orderCertainty() ) {","117","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"transaction.ordercertainty","MegaJsonToElavonMessageMapper","Transaction","if ( ESTIMATED == transactionContext.request().transaction().orderCertainty() ) {","123","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"transaction.ordercertainty","MegaJsonToElavonMessageMapper","Transaction","if ( ESTIMATED == transactionContext.request().transaction().orderCertainty() ) {","130","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"transaction.ordercertainty","MegaJsonToElavonMessageMapper","Transaction","&& ESTIMATED == transactionContext.request().transaction().orderCertainty() ) {","136","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"routingheader.action.refund_authorization","MegaJsonToElavonMessageMapper","RoutingHeader","if ( RoutingHeader.Action.REFUND_AUTHORIZATION","144","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"routingheader.action","MegaJsonToElavonMessageMapper","RoutingHeader",".equals( transactionContext.request().routingHeader().action() ) ) {","145","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"transaction.stan","MegaJsonToElavonMessageMapper","Transaction","String stan = Optional.ofNullable( transactionContext.request().transaction().stan() )","184","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
"transaction.cardexpirydate","MegaJsonToElavonMessageMapper","Transaction","isoMessage.set( getFieldId(), transactionContext.request().transaction().cardExpiryDate() );","216","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\MegaJsonToElavonMessageMapper.java","acqelavons2aservice"
